Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Act 2 - Tomb Tal 4	69	1	1	13	13	51	200	200	200	200	200	200	4500	1900		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 5	70	1	1	13	13	52	200	200	200	200	200	200	4500	2200		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 6	71	1	1	13	13	53	200	200	200	200	200	200	4500	2500		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Tomb Tal 7	72	1	1	13	13	54	200	200	200	200	200	200	4500	2800		1				1	1	1		1	1	17	-1	-1	-1	-1	46								45	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	17	42	67	17	49	82	10000	10000	10000		2	4	6	7	9	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion		30	30	20						8	19	255	Tal Rasha's Tomb	To Tal Rasha's Tomb	A2L27	19	29	32	78					10	40	5	10					0
Act 2 - Duriel's Lair	73	1	1	13	13	55	32	47	32	47	32	47	4500	3100		2			1	1	1	1		1	2	17	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1		255	255	255		1	1		2025	17	42	67	17	49	85	10000	10000	10000		2		2		2	1		3	wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																				wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			wraith4	scarab4	mummy4	unraveler3	unraveler3	vampire1	blunderbore2																			rat	bat	scorpion	larva	30	30	20	100					0	21	255	Duriel's Lair	To Duriel's Lair	A2L40																	0
Act 2 - Arcane	74	1	1	11	11	56	200	200	200	200	200	200	5000	1000		1			1	1	1	1		1	1	19	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1	128	255	255	255	1	1	1	11	3800	14	39	64	14	48	79	4950	4950	4950		1	4	5	7	9	1		3	wraith3	goatman4	vampire1																								wraith3	goatman4	vampire1																							wraith3	goatman4	vampire1																																			0	22	16	Arcane Sanctuary	To The Arcane Sanctuary	A2L41	53	75							75	75							0
Act 3 - Town	75	2	2			57	64	48	64	48	64	48	1000	1000		1	1	1			1	1			2	20	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1						1			2025		25	50																																																																																																								0	23	18	Kurast Docktown	To The Kurast Docktown	A3L1																	0
Act 3 - Jungle 1	76	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	84	85							51	51	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	49	79	3250	3250	3250	1	2	4	6	10	15	1	5	3	baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																					baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																				baboon3	mosquito1	thornhulk1	fetish2	fetishblow2	foulcrow4																				snake	parrot			30	30							0	24	19	Spider Forest	To The Spider Forest	A3L2	31	43	40	52					50	15	45	35					0
Act 3 - Jungle 2	77	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	21	46	71	21	50	80	3250	3250	3250	1	2	4	6	10	15	1	5	3	frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																					frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																				frogdemon1	frogdemon2	thornhulk2	zombie4	fetishshaman2	willowisp1																				snake	parrot			30	30							0	24	20	Great Marsh	To The Great Marsh	A3L3	31	43	40	52					50	15	45	35					0
Act 3 - Jungle 3	78	2	2			57	64	192	64	192	64	192	-1	-1		1	1	1			1	1			3	21	-1	-1	-1	-1	86	88							53	54	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	50	80	3250	3250	3250	1	2	4	6	10	15	1	5	3	fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																				fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																			fetish3	fetishshaman3	fetish4	fetishshaman4	vulture4	frogdemon3	fetishblow3																			snake	parrot			30	30							0	24	21	Flayer Jungle	To The Flayer Jungle	A3L4	31	43	40	52	43				50	15	45	35	50				0
Act 3 - Kurast 1	79	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1									-1	-1	-1	-1	-1	-1	-1	-1							1		2025	22	47	72	22	52	80	1625	1625	1625	1	2	4	6	7	9	1		3	baboon4	sandleaper4	vulture3	zealot1																							baboon4	sandleaper4	vulture3	zealot1																						baboon4	sandleaper4	vulture3	zealot1																						snake	parrot			30	30							0	25	22	Lower Kurast	To Lower Kurast	A3L5	31	76	40	42	43				33	15	35	40	40				0
Act 3 - Kurast 2	80	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	94	95					57	57	61	61	-1	-1	-1	-1							1		2025	22	47	72	22	52	81	1625	1625	1625	1	2	4	6	7	9	1		3	thornhulk3	swarm4	zealot2	cantor1																							thornhulk3	swarm4	zealot2	cantor1																						thornhulk3	swarm4	zealot2	cantor1																						snake	parrot			30	30							0	25	23	Kurast Bazaar	To The Kurast Bazaar	A3L6	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Kurast 3	81	2	2			57	80	64	80	64	80	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	92	92	96	97					57	57	61	61	-1	-1	-1	-1							1		2025	23	48	73	23	52	81	1625	1625	1625	1	2	4	6	7	9	1		3	vulture4	zealot3	cantor2	thornhulk3																							vulture4	zealot3	cantor2	thornhulk3																						vulture4	zealot3	cantor2	thornhulk3																						snake	parrot			30	30							0	25	24	Upper Kurast	To Upper Kurast	A3L7	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Kurast 4	82	2	2			57	48	16	48	16	48	16	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1			98	99					-1	-1	61	61	-1	-1	-1	-1							1		2025	24	49	74	24	53	81	1625	1625	1625	1	2	4	6	7	9	1		3	sandraider4	baboon5	cantor3																								sandraider4	baboon5	cantor3																							sandraider4	baboon5	cantor3																							snake	parrot			30	30							0	25	255	Kurast Causeway	To The Kurast Causeway	A3L8	31	76	40	42	43				33	15	45	50	50				0
Act 3 - Travincal	83	2	2			57	64	64	64	64	64	64	-1	-1		1	1	1			1	1	1		3	22	-1	-1	-1	-1	100								64	-1	-1	-1	-1	-1	-1	-1							1		2025	24	49	74	24	54	82	1625	1625	1625		1	3	5	6	8	1		3	cantor3	cantor3	vampire2																								cantor3	cantor3	vampire2																							cantor3	cantor3	vampire2																							snake	parrot			30	30							0	25	25	Travincal	To Travincal	A3L9	31	61	40	42	62				33	25	50	33	35				0
Act 3 - Spider 1	84	2	2			58	200	200	200	200	200	200	1500	1000		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	3500	3500	3500		1	3	4	4	5	1		3	arach3	arach4	batdemon2	sandmaggot4	arach3																						arach3	arach4	batdemon2	sandmaggot4	arach3																					arach3	arach4	batdemon2	sandmaggot4	arach3																					minispider				30								0	29	255	Spider Cave	To The Spider Cave	A3L10	2	68	62						35	35	35						0
Act 3 - Spider 2	85	2	2			59	200	200	200	200	200	200	1500	1300		1				1	1	1		1	1	23	-1	-1	-1	-1		76							-1	52	-1	-1	-1	-1	-1	-1	30	255	255	255			1		2025	21	46	71	21	50	79	3500	3500	3500		1	3	4	4	5	1		3	arach3	arach4	batdemon2	sandmaggot4	arach3																						arach3	arach4	batdemon2	sandmaggot4	arach3																					arach3	arach4	batdemon2	sandmaggot4	arach3																					minispider				30								0	29	255	Spider Cavern	To The Spider Cavern	A3L11	2	68	62						35	35	35						0
Act 3 - Dungeon 1 A	86	2	2			60	200	200	200	200	200	200	2000	1000		1				1	1	1		1	1	24	-1	-1	-1	-1	87	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	3500	3500	3500		1	3	4	5	6	1		3	mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																						mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																					mummy4	bonefetish4	batdemon2	willowisp1	bonefetish5																					rat				30								0	27	255	Swampy Pit Level 1	To The Swampy Pit Level 1	A3L12	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 1 B	87	2	2			61	200	200	200	200	200	200	2000	1300		1				1	1	1		1	1	24	-1	-1	-1	-1	90	86							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	3500	3500	3500		1	3	4	5	5	1		3	bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																						bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																					bonefetish4	zombie4	batdemon2	willowisp1	bonefetish5																					rat				30								0	27	255	Swampy Pit Level 2	To The Swampy Pit Level 2	A3L13	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 2 A	88	2	2			62	200	200	200	200	200	200	2000	1600		1				1	1	1		1	1	24	-1	-1	-1	-1	89	78							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	3500	3500	3500		1	3	4	5	6	1		3	fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																			fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		rat				30								0	27	255	Flayer Dungeon Level 1	To The Flayer Dungeon Level 1	A3L14	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 2 B	89	2	2			63	200	200	200	200	200	200	2000	1900		1				1	1	1		1	1	24	-1	-1	-1	-1	91	88							56	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	3500	3500	3500		1	3	4	5	5	1		3	fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																			fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		rat				30								0	27	255	Flayer Dungeon Level 2	To The Flayer Dungeon Level 2	A3L15	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 1 Treasure	90	2	2			64	40	40	40	40	40	40	2000	2200		1				1	1	1		1	2	24	-1	-1	-1	-1		87							-1	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	21	46	71	21	51	85	3500	3500	3500		1	1	2	2	3	1		3	bonefetish4	bonefetish5	batdemon2	willowisp1																							bonefetish4	bonefetish5	batdemon2	willowisp1																						mosquito2	bonefetish5	batdemon2	willowisp1																						rat				30								0	27	255	Swampy Pit Level 3	To The Swampy Pit Level 3	A3L16	66	67	62	64	72				80	80	35	35	35				0
Act 3 - Dungeon 2 Treasure	91	2	2			65	40	40	40	40	40	40	2000	2340		1				1	1	1		1	2	24	-1	-1	-1	-1		89							-1	55	-1	-1	-1	-1	-1	-1		255	255	255			1		1000	22	47	72	22	51	85	3500	3500	3500		1	1	2	2	3	1		3	fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																			fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		fetish3	fetishshaman3	fetish4	fetishshaman4	batdemon3	wraith5	fetishblow3	bonefetish3																		rat				30								0	27	255	Flayer Dungeon Level 3	To The Flayer Dungeon Level 3	A3L17	66	67	62	64	72				80	55	35	35	35				0
Act 3 - Sewer 1	92	2	2			66	200	200	200	200	200	200	2500	1000		1				1	1	1		1	1	25	-1	-1	-1	-1	80	80	81	81	93				58	59	58	59	60	-1	-1	-1		255	255	255			1		2025	23	48	73	23	52	85	3250	3250	3250	1	2	3	4	6	7	1		3	mummy4	mosquito2	batdemon3	unraveler4	bonefetish4																						mummy4	mosquito2	batdemon3	unraveler4	bonefetish4																					mummy4	mosquito2	batdemon3	unraveler4	bonefetish4																					rat	rat			100	100							0	26	255	Sewers Level 1	To The Sewers Level 1	A3L18	64	70	62	65					50	50	35	45	45				0
Act 3 - Sewer 2	93	2	2			67	18	22	18	22	18	22	2500	1300		1				1	1	1		1	2	25	-1	-1	-1	-1	92								58	-1	-1	-1	-1	-1	-1	-1		255	255	255			1		2025	24	49	74	24	53	85	3250	3250	3250	1	2	3	4	6	7	1		3	mummy4	unraveler4	mosquito4	frogdemon3	bonefetish4																						mummy4	unraveler4	mosquito4	frogdemon3	bonefetish4																					mummy4	unraveler4	mosquito4	frogdemon3	bonefetish4																					rat	rat			100	100							0	26	255	Sewers Level 2	To The Sewers Level 2	A3L19	64	70	62	65					50	50	35	45	45				0
Act 3 - Temple 1	94	2	2			68	24	24	24	24	24	24	3000	1000		1				1	1	1		1	2	22	-1	-1	-1	-1	80	80							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	85	4950	4950	4950	1	2	1	2	2	2	1		3	brute5	corruptrogue5	arach5	vampire2																							brute5	corruptrogue5	arach5	vampire2																						brute5	corruptrogue5	arach5	vampire2																						rat				30								0	28	255	Ruined Temple	To The Ruined Temple	A3L20	60	61	59	60					50	25	45	33					0
Act 3 - Temple 2	95	2	2			69	24	24	24	24	24	24	3000	1124		1				1	1	1		1	2	22	-1	-1	-1	-1	80	80							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	85	4950	4950	4950	1	2	1	2	2	2	1		3	brute5	corruptrogue5	arach5	vampire2																							brute5	corruptrogue5	arach5	vampire2																						brute5	corruptrogue5	arach5	vampire2																						rat				30								0	28	255	Disused Fane	To The Disused Fane	A3L21	60	61	59	60					50	25	45	33					0
Act 3 - Temple 3	96	2	2			70	24	24	24	24	24	24	3000	1248		1				1	1	1		1	2	22	-1	-1	-1	-1	81	81							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	23	48	73	23	53	85	4950	4950	4950	1	2	1	2	2	2	1		3	brute5	corruptrogue5	arach5	vampire2																							brute5	corruptrogue5	arach5	vampire2																						brute5	corruptrogue5	arach5	vampire2																						rat				30								0	28	255	Forgotten Reliquary	To The Forgotten Reliquary	A3L22	60	61	59	60					50	25	45	33					0
Act 3 - Temple 4	97	2	2			71	24	24	24	24	24	24	3000	1372		1				1	1	1		1	2	22	-1	-1	-1	-1	81	81							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	4950	4950	4950	1	2	1	2	2	2	1		3	clawviper5	scarab5	batdemon4	cr_archer5																							clawviper5	scarab5	batdemon4	cr_archer5																						clawviper5	scarab5	batdemon4	cr_archer5																						rat				30								0	28	255	Forgotten Temple	To The Forgotten Temple	A3L23	60	61	59	60					50	25	45	33					0
Act 3 - Temple 5	98	2	2			72	24	24	24	24	24	24	3000	1496		1				1	1	1		1	2	22	-1	-1	-1	-1	82	82							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	4950	4950	4950	1	2	1	2	2	2	1		3	clawviper5	scarab5	batdemon4	cr_archer5																							clawviper5	scarab5	batdemon4	cr_archer5																						clawviper5	scarab5	batdemon4	cr_archer5																						rat				30								0	28	255	Ruined Fane	To The Ruined Fane	A3L24	60	61	59	60					50	25	45	33					0
Act 3 - Temple 6	99	2	2			73	24	24	24	24	24	24	3000	1620		1				1	1	1		1	2	22	-1	-1	-1	-1	82	82							62	63	-1	-1	-1	-1	-1	-1		255	255	255			1		100	24	49	74	24	54	85	4950	4950	4950	1	2	1	2	2	2	1		3	clawviper5	scarab5	batdemon4	cr_archer5																							clawviper5	scarab5	batdemon4	cr_archer5																						clawviper5	scarab5	batdemon4	cr_archer5																						rat				30								0	28	255	Disused Reliquary	To The Disused Reliquary	A3L25	60	61	59	60					50	25	45	33					0
